문항번호코드,문항설명
Q2-1-4C,@@BB을/를 선택하신 가장 큰 이유는 무엇입니까?
Q2-1-6-1C,숙박 일정 활동 횟수 - 숙박형
Q2-1-6-2C,숙박 일정 - 숙박형
Q2-1-7C,@@AA @@BB을/를 하실 때 숙박하신 곳은 어떤 시설입니까?
Q2-1-8C,@@AA @@BB을/를 하실 때 이동하는 데 걸린 시간은 평균적으로 어느 정도였습니까?
Q2-1-9C,@@AA @@BB을/를 하실 때 주로 어떤 교통수단을 사용하셨습니까?
Q2-1-10C,@@AA @@BB을/를 하실 때 주로 함께한 사람은 누구입니까?
Q2-1-11C,"@@AA @@BB을/를 하실 때, 평균적으로 몇 명이 함께 참여하였습니까? 본인을 포함하여 말씀해 주시기 바랍니다."
Q2-1-12C,@@AA @@BB을/를 하신 주된 목적은 무엇입니까?
Q2-1-13C,@@AA @@BB에 주로 어떤 경로를 통해 참여하였습니까?
Q2-1-14-1C,"@@AA @@BB에 참여하실 때, 1회 기준으로 평균 어느 정도의 비용이 들었습니까?"
Q2-1-14-2C,"@@AA @@BB에 참여하실 때, 1회 기준으로 평균 어느 정도의 비용이 들었습니까?"
Q2-1-15C,@@AA @@BB에 어느 정도로 만족하십니까?
Q3,다음 에 제시한 산림휴양·복지활동 중 앞으로 1년 동안(2019년 7월 1일 ~ 2020년 6월 30일) 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 참여하고 싶은 활동을 모두 말씀해주십시오.
Q3-1-1,앞으로 1년 동안(2019년 7월 1일 ~ 2020년 6월 30일) 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 참여하고 싶은 활동을 주된 순서대로 모두 말씀해 주시기 바랍니다.
Q3-1-2,앞으로 1년 동안(2019년 7월 1일 ~ 2020년 6월 30일) 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 참여하고 싶은 활동을 주된 순서대로 모두 말씀해 주시기 바랍니다.
Q3-1-4-1A,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-2A,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-3A,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-4A,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-5A,@@CC을/를 선택하신 가장 큰 이유는 무엇입니까?
Q3-1-6A,@@AA @@BB을/를 하고 싶은 주된 목적은 무엇입니까?
Q3-1-2B,당일 일정 활동 희망 횟수 - 당일형
Q3-1-4-1B,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-2B,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-3B,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-4B,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-5B,@@CC을/를 선택하신 가장 큰 이유는 무엇입니까?
Q3-1-6B,@@AA @@BB을/를 하고 싶은 주된 목적은 무엇입니까?
Q3-1-3-1C,숙박 일정 활동 희망 횟수 - 숙박형
Q3-1-3-2C,숙박 희망 일정 - 숙박형
Q3-1-4-1C,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-2C,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-3C,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-4C,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-5C,@@CC을/를 선택하신 가장 큰 이유는 무엇입니까?
Q3-1-6C,@@AA @@BB을/를 하고 싶은 주된 목적은 무엇입니까?
Q4A-1,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-2,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-3,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-4,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-5,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-6,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-7,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-8,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-9,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-10,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-11,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-12,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-13,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-14,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-15,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-16,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-17,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-18,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-19,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-20,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-21,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-22,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-23,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-24,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-1,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-2,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-3,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-4,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-5,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-6,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-7,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-8,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-9,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-10,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-11,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-12,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-13,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-14,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-15,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-16,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-17,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-18,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-19,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-20,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-21,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-22,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-23,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-24,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-1,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-2,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-3,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-4,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-5,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-6,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-7,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-8,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-9,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-10,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-11,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-12,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-13,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-14,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-15,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
